xres,yres,time_ms,application_type,run
64,64,3,sequential,1
64,64,3480,cuda,1
64,64,3,sequential,2
64,64,3478,cuda,2
64,64,3,sequential,3
64,64,3560,cuda,3

160,160,3476,cuda,1
160,160,19,sequential,1
160,160,3544,cuda,2
160,160,19,sequential,2
160,160,3482,cuda,3
160,160,19,sequential,3

240,240,3481,cuda,1
240,240,44,sequential,1
240,240,3486,cuda,2
240,240,45,sequential,2
240,240,3479,cuda,3
240,240,44,sequential,3

480,480,3510,cuda,1
480,480,176,sequential,1
480,480,3515,cuda,2
480,480,177,sequential,2
480,480,3531,cuda,3
480,480,176,sequential,3

800,800,3589,cuda,1
800,800,486,sequential,1
800,800,3880,cuda,2
800,800,481,sequential,2
800,800,3588,cuda,3
800,800,481,sequential,3

960,960,3664,cuda,1
960,960,696,sequential,1
960,960,3655,cuda,2
960,960,699,sequential,2
960,960,3631,cuda,3
960,960,696,sequential,3

1120,1120,3690,cuda,1
1120,1120,956,sequential,1
1120,1120,3719,cuda,2
1120,1120,961,sequential,2
1120,1120,3691,cuda,3
1120,1120,1040,sequential,3

1280,1280,3746,cuda,1
1280,1280,1244,sequential,1
1280,1280,3795,cuda,2
1280,1280,1252,sequential,2
1280,1280,3743,cuda,3
1280,1280,1236,sequential,3

1440,1440,3819,cuda,1
1440,1440,1578,sequential,1
1440,1440,3913,cuda,2
1440,1440,1581,sequential,2
1440,1440,3821,cuda,3
1440,1440,1568,sequential,3

2400,2400,4586,cuda,1
2400,2400,4403,sequential,1
2400,2400,4416,cuda,2
2400,2400,4350,sequential,2
2400,2400,4413,cuda,3
2400,2400,4349,sequential,3

4800,4800,7151,cuda,1
4800,4800,17518,sequential,1
4800,4800,7216,cuda,2
4800,4800,17371,sequential,2
4800,4800,7151,sequential,3
4800,4800,17503,cuda,3

8000,8000,13655,cuda,1
8000,8000,48721,sequential,1
8000,8000,13619,cuda,2
8000,8000,48369,sequential,2
8000,8000,13611,cuda,3
8000,8000,48705,sequential,3

9600,9600,18096,cuda,1
9600,9600,69759,sequential,1
9600,9600,18096,cuda,2
9600,9600,69759,sequential,2
9600,9600,17992,cuda,3
9600,9600,70100,sequential,3

11200,11200,23027,cuda,1
11200,11200,94768,sequential,1
11200,11200,23043,cuda,2
11200,11200,95731,sequential,2
11200,11200,23011,cuda,3
11200,11200,94972,sequential,3

12800,12800,29000,cuda,1
12800,12800,124153,sequential,1
12800,12800,28964,cuda,2
12800,12800,123865,sequential,2
12800,12800,28947,cuda,3
12800,12800,123016,sequential,3

14400,14400,35599,cuda,1
14400,14400,158065,sequential,1
14400,14400,35541,cuda,2
14400,14400,156731,sequential,2
14400,14400,35784,cuda,3
14400,14400,157897,sequential,3

16000,16000,43037,cuda,1
16000,16000,194159,sequential,1
16000,16000,43037,cuda,2
16000,16000,192968,sequential,2
16000,16000,43157,cuda,3
16000,16000,193390,sequential,3

20000,20000,64947,cuda,1
20000,20000,303353,sequential,1
20000,20000,64919,cuda,2
20000,20000,305460,sequential,2
20000,20000,64937,cuda,3
20000,20000,304514,sequential,3

24000,24000,91403,cuda,1
24000,24000,436342,sequential,1
24000,24000,91357,cuda,2
24000,24000,434595,sequential,2
24000,24000,91239,cuda,3
24000,24000,435322,sequential,3
